rarity,last_sale_price,sale_count,predicted_price
103.2609771699750,4.175,2.0,2.7792892
143.6075287771570,5.99,3.0,2.8345964
57.9407064762214,1.648,4.0,3.0375202
158.46278624297700,0.85,1.0,2.6506195
226.613608033493,4.68,3.0,3.1402466
98.3900312670745,3.15,6.0,3.0375202
145.63179985855600,9.0,7.0,3.1518006
88.64521138394500,3.1,5.0,3.0375202
139.63488023051700,5.75,3.0,2.8345964
132.42008700155000,3.3143,2.0,2.831447
68.03390403970190,2.7,3.0,2.7792892
161.34031566841500,7.5,3.0,2.8345964
154.11910266842300,2.8,1.0,2.6506195
196.6145546834820,5.88,1.0,2.9954128
249.47824436367300,45.0,3.0,3.4830139
363.5642868534970,13.0,2.0,4.829601
151.9414740265600,2.09,1.0,2.6506195
40.38451457018710,3.0,1.0,2.578322
70.3591644812349,4.15,8.0,3.2021933
157.46680915770600,3.2,2.0,2.8345964
115.76765230742500,2.8,2.0,2.7792892
105.59471300064400,9.9,5.0,3.0375202
138.56423175726300,6.2,5.0,3.0928268
210.6467184432420,9.9,5.0,3.4376206
211.9675248351330,3.49,2.0,3.1793897
195.30074541660400,4.469,1.0,2.9954128
206.28577369625300,2.57,7.0,3.496595
127.82878256520000,9.33,5.0,3.0375202
180.80295159805200,3.0,7.0,3.2264657
136.011381785761,3.95,5.0,3.0896773
219.19365664979500,3.0,4.0,3.398477
143.71346938130300,2.98,2.0,2.8345964
139.6959049703120,4.0,5.0,3.0928268
126.84227331112100,3.489982161411310,1.0,2.5953124
241.1528560996490,5.5,4.0,3.5173018
220.0354998702010,13.0,1.0,2.9562693
113.5373994589460,2.59,6.0,3.0375202
98.0029761197348,11.0,14.0,3.2021933
72.47785080761700,4.88,2.0,2.7792892
460.3155087006460,7.5,1.0,4.6956463
212.1370063989270,1.8,1.0,2.8339493
263.5680388228550,3.449,2.0,3.4830139
165.1793037955460,1.58,1.0,2.7252843
214.9357964189660,3.269,2.0,3.1402466
206.1643630883230,3.89,2.0,3.1793897
92.78208489205020,2.25,7.0,3.096494
234.92798299346800,0.99,1.0,3.0750935
154.31369798595200,5.65,5.0,3.0928268
146.358896616701,8.62,8.0,3.2575
256.53445860728400,28.99,2.0,3.4830139
216.1453882211650,3.99,2.0,3.1402466
244.58335673236500,9.1919,6.0,3.4630094
274.650557339442,4.0,3.0,3.4830139
148.65205669032600,7.999,6.0,3.0928268
220.1288433913070,1.19,3.0,3.1402466
150.55982727555400,1.4,2.0,2.8345964
255.5701901226660,6.0,2.0,3.4830139
245.46502305417900,12.0,4.0,3.7412443
225.7358746265060,6.0,6.0,3.398477
81.41861543756190,6.7,4.0,3.0375202
152.99944737187000,2.5,3.0,2.8345964
132.99496337621800,5.87,4.0,3.0896773
76.35168807559340,5.9,5.0,3.0375202
149.3197616203640,2.47,2.0,2.8345964
194.0115406458590,3.48,6.0,3.4376206
319.4108640399780,6.8,2.0,3.545967
185.45735336917400,3.98,2.0,2.9092612
208.1852300256350,10.5,7.0,3.496595
197.4203058809160,3.5,2.0,3.1793897
195.2403731959300,4.99,1.0,2.9954128
238.6229142083530,4.5,2.0,3.2590714
186.785970827808,6.5,1.0,2.7252843
151.48046999455000,3.2,3.0,2.8345964
250.7129507833750,3.1499,2.0,3.4830139
109.3694461329240,2.4,3.0,2.7792892
134.4887114198530,1.4799,2.0,2.831447
90.9134133000708,1.9,1.0,2.5953124
183.9783778108570,3.5,2.0,2.9092612
271.9647501578400,4.0,2.0,3.4830139
81.03649999684770,3.25,5.0,3.0375202
119.8501744972270,8.14,9.0,3.2021933
239.8747732877680,4.375,3.0,3.2590714
162.76764553881500,6.99,2.0,2.9092612
101.73931130647500,0.931,2.0,2.7792892
221.7258976281220,1.99,3.0,3.1402466
242.14088699563100,1.45,1.0,3.0750935
133.95430928202500,2.98,7.0,3.1486511
49.40038780584940,5.8,4.0,3.0375202
365.439374758621,4.0,1.0,4.6456223
135.3443025960310,6.0,4.0,3.0896773
174.62450291219800,2.9,7.0,3.2264657
